MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading
477153500,2024-06-15T17:59:55,37.76934,-122.33908,0.0,104.2,163.0
338303904,2024-06-15T18:00:22,37.76673,-122.28712,0.0,167.0,511.0
367152240,2024-06-15T18:00:01,37.80676,-122.40412,0.0,155.5,511.0
368060960,2024-06-15T17:59:24,37.90837,-122.38345,0.0,303.1,511.0
367760340,2024-06-15T17:59:40,37.82812,-122.38335,0.7,302.5,511.0
366844270,2024-06-15T18:01:16,37.79469,-122.28714,0.0,293.7,273.0
518100257,2024-06-15T17:59:54,37.85732,-122.47697,0.1,23.7,511.0
367469070,2024-06-15T18:00:15,37.86828,-122.31495,0.0,169.2,511.0
338472547,2024-06-15T17:59:34,37.87152,-122.49682,0.0,360.0,511.0
368161020,2024-06-15T18:00:32,37.76613,-122.28615,0.0,179.5,201.0
367369720,2024-06-15T17:59:50,37.90566,-122.37194,0.1,53.8,241.0
368368270,2024-06-15T18:00:17,37.91007,-122.40697,8.3,17.7,12.0
367768090,2024-06-15T18:00:29,37.87757,-122.40564,4.7,12.0,511.0
367330510,2024-06-15T18:00:00,37.82202,-122.31170,0.0,360.0,292.0
367006980,2024-06-15T17:59:33,37.79883,-122.39449,0.0,173.8,511.0
338469881,2024-06-15T18:00:51,37.85473,-122.39697,7.1,342.1,346.0
368171990,2024-06-15T17:59:41,37.92114,-122.40875,0.0,155.8,143.0
338404076,2024-06-15T18:00:48,37.90869,-122.38311,0.0,29.5,511.0
366976780,2024-06-15T18:01:17,37.80903,-122.41071,0.0,360.0,511.0
366976780,2024-06-15T18:00:06,37.80903,-122.41071,0.0,360.0,511.0
368282130,2024-06-15T18:01:01,37.86549,-122.31418,0.8,77.8,511.0
367776410,2024-06-15T17:59:43,37.81629,-122.37310,0.0,360.0,511.0
366864850,2024-06-15T18:01:15,37.81007,-122.41172,0.0,360.0,165.0
366969980,2024-06-15T18:00:05,37.86866,-122.43536,0.1,301.2,336.0
338311146,2024-06-15T18:01:21,37.80711,-122.44049,0.1,168.7,511.0
368053730,2024-06-15T17:59:44,37.93417,-122.44540,31.0,184.9,186.0
367404880,2024-06-15T17:59:43,37.78052,-122.38500,0.1,360.0,511.0
368320180,2024-06-15T18:00:04,37.79253,-122.35033,7.4,348.8,511.0
338319661,2024-06-15T17:59:56,37.81038,-122.40966,0.1,360.0,511.0
338125577,2024-06-15T18:00:08,37.84034,-122.39704,4.7,3.6,5.0
338210857,2024-06-15T18:00:15,37.81618,-122.39901,9.6,286.5,511.0
367396670,2024-06-15T18:00:09,37.82185,-122.31107,0.0,360.0,511.0
366864140,2024-06-15T18:00:27,37.81032,-122.41189,3.3,267.3,511.0
338390586,2024-06-15T18:00:30,37.78276,-122.26237,0.0,360.0,229.0
368250450,2024-06-15T18:00:18,37.78717,-122.27147,0.0,360.0,511.0
